playerID,year,tmID,pos,GP,G,A,Pts,PIM
aaltoan01,2000,ANA,C,12.0,1.0,1.0,2.0,2.0
abdelju01,2007,DET,L,2.0,0.0,0.0,0.0,2.0
abdelju01,2008,DET,L,2.0,0.0,0.0,0.0,0.0
abdelju01,2009,DET,L,50.0,3.0,3.0,6.0,35.0
abdelju01,2010,DET,L,74.0,7.0,12.0,19.0,61.0
abdelju01,2011,DET,L,81.0,8.0,14.0,22.0,62.0
abidra01,2002,PHO,L,30.0,10.0,8.0,18.0,30.0
abidra01,2002,PIT,L,3.0,0.0,0.0,0.0,2.0
abidra01,2003,PIT,L,16.0,3.0,2.0,5.0,27.0
abidra01,2005,ATL,L,6.0,0.0,2.0,2.0,6.0
abidra01,2006,NAS,L,13.0,1.0,4.0,5.0,13.0
adamlu01,2010,BUF,L,19.0,3.0,1.0,4.0,12.0
adamlu01,2011,BUF,L,52.0,10.0,10.0,20.0,14.0
adamsbr01,2000,ATL,L,9.0,0.0,1.0,1.0,2.0
adamscr01,2000,CAR,R,44.0,1.0,0.0,1.0,20.0
adamscr01,2001,CAR,R,33.0,0.0,1.0,1.0,38.0
adamscr01,2002,CAR,R,81.0,6.0,12.0,18.0,71.0
adamscr01,2003,CAR,L,80.0,7.0,10.0,17.0,69.0
adamscr01,2005,CAR,R,67.0,10.0,11.0,21.0,51.0
adamscr01,2006,CAR,R,82.0,7.0,7.0,14.0,54.0
adamscr01,2007,CAR,R,40.0,2.0,3.0,5.0,34.0
adamscr01,2007,CHI,R,35.0,2.0,4.0,6.0,24.0
adamscr01,2008,CHI,R,36.0,2.0,4.0,6.0,22.0
adamscr01,2008,PIT,R,9.0,0.0,1.0,1.0,0.0
adamscr01,2009,PIT,R,82.0,0.0,10.0,10.0,72.0
adamscr01,2010,PIT,R,80.0,4.0,11.0,15.0,76.0
adamscr01,2011,PIT,R,82.0,5.0,13.0,18.0,34.0
adamsgr02,2000,FLO,L,60.0,11.0,12.0,23.0,10.0
adamske01,2000,CBS,C,66.0,8.0,12.0,20.0,52.0
adamske01,2000,FLO,C,12.0,3.0,6.0,9.0,2.0
adamske01,2001,FLO,C,44.0,4.0,8.0,12.0,28.0
adamske01,2001,CAR,C,33.0,2.0,3.0,5.0,15.0
adamske01,2002,CAR,C,77.0,9.0,9.0,18.0,57.0
adamske01,2003,CAR,C,73.0,10.0,12.0,22.0,43.0
adamske01,2005,CAR,C,82.0,15.0,8.0,23.0,36.0
adamske01,2006,CAR,C,35.0,2.0,2.0,4.0,17.0
adamske01,2006,PHO,C,33.0,1.0,7.0,8.0,8.0
adamske01,2007,CHI,C,27.0,0.0,2.0,2.0,13.0
aebisda01,2000,COL,G,26.0,0.0,1.0,1.0,0.0
aebisda01,2001,COL,G,21.0,0.0,0.0,0.0,4.0
aebisda01,2002,COL,G,22.0,0.0,0.0,0.0,4.0
aebisda01,2003,COL,G,62.0,0.0,1.0,1.0,4.0
aebisda01,2005,COL,G,43.0,0.0,3.0,3.0,16.0
aebisda01,2005,MTL,G,7.0,0.0,0.0,0.0,0.0
aebisda01,2006,MTL,G,32.0,0.0,0.0,0.0,2.0
aebisda01,2007,PHO,G,1.0,0.0,0.0,0.0,0.0
afanadm01,2000,TBL,L,9.0,1.0,1.0,2.0,4.0
afanadm01,2001,TBL,L,5.0,0.0,0.0,0.0,0.0
afanadm01,2003,TBL,R,71.0,6.0,10.0,16.0,12.0
afanadm01,2005,TBL,L,68.0,9.0,6.0,15.0,16.0
afanadm01,2006,TBL,L,33.0,3.0,3.0,6.0,8.0
afanadm01,2006,PHI,L,41.0,8.0,7.0,15.0,12.0
afinoma01,2000,BUF,R,78.0,14.0,22.0,36.0,40.0
afinoma01,2001,BUF,R,81.0,21.0,19.0,40.0,69.0
afinoma01,2002,BUF,R,35.0,5.0,6.0,11.0,21.0
afinoma01,2003,BUF,R,73.0,17.0,14.0,31.0,57.0
